Date,AGRO_Price,BBAR_Price,BMA_Price,CEPU_Price,CAAP_Price,DESP_Price,EDN_Price,GLOB_Price,GGAL_Price,IRS_Price,MELI_Price,PAM_Price,SUPV_Price,TS_Price,TX_Price,TGS_Price,YPF_Price,AFYA_Price,ABEV_Price,TBBB_Price,BAK_Price,BBD_Price,BSBR_Price,BRFS_Price,CBDBY_Price,CINT_Price,ERJ_Price,EVEX_Price,GGB_Price,INTR_Price,ITUB_Price,LVRO_Price,NU_Price,PAGS_Price,PAX_Price,PBR_Price,SGML_Price,SID_Price,STN_Price,UGP_Price,VALE_Price,VSTA_Price,VINP_Price,VTRU_Price,VTEX_Price,XP_Price,ZENV_Price,BCH_Price,BSAC_Price,CCU_Price,SQM_Price,AVAL_Price,CIB_Price,EC_Price,GPRK_Price,PSMT_Price,STIX_Price,TGLS_Price,AMX_Price,ASR_Price,CX_Price,FMX_Price,KOF_Price,OMAB_Price,PAC_Price,TV_Price,VIST_Price,VLRS_Price,AUNA_Price,BAP_Price,BVN_Price,CEG_Price,CPAC_Price,IFS_Price,NEXA_Price,SCCO_Price,PAAS_Price,CPA_Price,BLX_Price,ARCO_Price,DLO_Price,AGRO_Volume,BBAR_Volume,BMA_Volume,CEPU_Volume,CAAP_Volume,DESP_Volume,EDN_Volume,GLOB_Volume,GGAL_Volume,IRS_Volume,MELI_Volume,PAM_Volume,SUPV_Volume,TS_Volume,TX_Volume,TGS_Volume,YPF_Volume,AFYA_Volume,ABEV_Volume,TBBB_Volume,BAK_Volume,BBD_Volume,BSBR_Volume,BRFS_Volume,CBDBY_Volume,CINT_Volume,ERJ_Volume,EVEX_Volume,GGB_Volume,INTR_Volume,ITUB_Volume,LVRO_Volume,NU_Volume,PAGS_Volume,PAX_Volume,PBR_Volume,SGML_Volume,SID_Volume,STN_Volume,UGP_Volume,VALE_Volume,VSTA_Volume,VINP_Volume,VTRU_Volume,VTEX_Volume,XP_Volume,ZENV_Volume,BCH_Volume,BSAC_Volume,CCU_Volume,SQM_Volume,AVAL_Volume,CIB_Volume,EC_Volume,GPRK_Volume,PSMT_Volume,STIX_Volume,TGLS_Volume,AMX_Volume,ASR_Volume,CX_Volume,FMX_Volume,KOF_Volume,OMAB_Volume,PAC_Volume,TV_Volume,VIST_Volume,VLRS_Volume,AUNA_Volume,BAP_Volume,BVN_Volume,CEG_Volume,CPAC_Volume,IFS_Volume,NEXA_Volume,SCCO_Volume,PAAS_Volume,CPA_Volume,BLX_Volume,ARCO_Volume,DLO_Volume
2015-05-04,9.0407,12.7048,38.7497,,,,14.75,21.21,17.134,10.2651,150.8644,17.54,,22.1345,10.9279,4.0542,29.9084,,4.2434,,5.7907,2.8292,2.895,19.7661,31.2345,,29.5239,,1.7031,,3.2794,,,,,2.896,,1.5308,23.8667,8.6861,4.2208,,,,,,,12.0044,12.9766,13.9886,15.9892,3.8612,21.6212,6.621,4.388,72.353,,8.5729,14.8339,105.8104,8.6286,74.9164,56.3311,24.4199,45.2055,27.7719,,12.04,,115.5114,10.6747,,4.797,,,22.2135,8.3988,80.7946,16.8729,5.6131,,167594,379692,123364,,,,44560,59444,495522,27796,896357,114765,,1399500,151000,136017,688561,,6525900,,1146424,18918668,1289900,1576251,429300.0,,688300.0,,5332446,,26781523,,,,,25982800,,5858977,9179.0,744818,26201461,,,,,,,159460,535100,58800,880242,114300,341500,653900,10400,166488,,14000,3039357,44100,10103766,276300,79200,82253,73900,2104300,,164540,,339600,799300,,12108.0,,,1546172,1226800,476800,103600,343200,
2015-05-05,8.8271,12.4615,37.7097,,,,15.28,21.14,16.626,10.4141,147.8128,17.2,,21.8067,10.964,4.0461,30.0149,,4.3247,,5.5992,2.8349,3.0028,19.7661,31.6517,,29.833,,1.7633,,3.2717,,,,,3.0174,,1.6087,23.9535,8.6861,4.6256,,,,,,,12.0113,13.1109,14.2309,15.9451,3.9539,22.0522,6.7458,4.315,71.7138,,8.5729,14.7062,109.3453,8.6197,75.7203,57.2364,24.9766,46.2607,27.1194,,11.92,,114.7502,10.7593,,4.7602,,,22.4245,8.2693,80.7428,16.4165,5.6913,,157697,167565,123068,,,,132417,65032,393914,118848,580983,190239,,2742800,350500,62014,1846624,,13199000,,999515,19724607,1281700,1618393,509000.0,,847900.0,,9841608,,26486509,,,,,51553200,,5128684,17783.0,725030,58733359,,,,,,,183983,523000,164100,255209,714800,387600,975400,13600,143250,,4600,2369840,112400,8574600,406300,101300,156142,55200,1704100,,196858,,336100,1013500,,16643.0,,,1822145,1284800,525400,227200,344000,
2015-05-06,8.6936,12.1195,37.277,,,,15.26,20.69,16.1564,10.3424,147.1391,16.78,,21.6533,10.7318,4.0461,29.8891,,4.3653,,5.7715,2.7785,3.0567,19.691,31.481,,29.6495,,1.6881,,3.1913,,,,,2.8753,,1.6087,23.4067,8.7851,4.3049,,,,,,,12.0373,13.1231,14.4143,15.9082,4.0427,22.0713,6.816,4.4042,70.8614,,8.6036,14.5643,110.1273,8.5577,75.2818,57.5522,25.0194,45.9298,26.9372,,12.38,,114.3733,10.4113,,4.8276,,,22.2068,8.0449,79.1872,16.705,5.5175,,90455,142899,159879,,,,97990,53534,341963,30104,771757,106226,,2787600,459700,127947,2302255,,16995600,,939221,14348081,2300500,1123544,426400.0,,776300.0,,6317640,,29453819,,,,,48010600,,4043151,26814.0,654382,69358367,,,,,,,143148,291600,94600,297111,309000,438000,1194100,62700,180471,,19000,3044274,43000,7632202,257000,100400,43221,44800,1261100,,230033,,242400,1172600,,2807.0,,,1162955,1354200,609400,200100,325800,
2015-05-07,8.6758,12.0341,37.0048,,,,14.81,21.35,16.0102,10.3093,143.7606,16.37,,21.1512,10.6389,3.9316,29.2988,,4.3856,,5.7077,2.8054,3.0729,19.7755,31.794,,29.6881,,1.653,,3.2327,,,,,2.8605,,1.5363,23.4762,8.8612,4.121,,,,,,,12.0658,13.1536,14.3619,15.7462,3.9886,21.8223,6.5898,3.9338,71.8647,,8.8104,14.6566,109.7437,8.6551,75.8989,56.4224,24.4138,44.6998,27.0055,,12.66,,113.1836,10.4584,,4.7786,,,21.9209,8.2089,68.8462,16.8204,5.5262,,95897,124494,130562,,,,57631,100509,486285,46602,982715,219881,,2397700,347000,234946,922694,,12167700,,872200,8559327,1310300,1062639,634600.0,,615700.0,,3752406,,20275369,,,,,30973300,,4011252,16894.0,1348404,51065238,,,,,,,99503,273200,88800,482382,316400,453300,798100,32400,196799,,62300,2803520,38400,10750131,358700,75300,142001,60500,1472600,,171982,,417500,1576300,,21358.0,,,1512534,1943200,4869600,114000,158700,
2015-05-08,8.7203,12.2708,37.4934,,,,14.93,21.24,16.2719,10.2486,145.2765,16.37,,21.2488,10.9033,3.9725,29.173,,4.5142,,6.4036,2.8538,3.1484,20.3483,30.9785,,30.2097,,1.7432,,3.3028,,,,,2.8842,,1.5029,23.9622,9.12,4.0106,,,,,,,12.3279,13.3733,14.5256,15.7978,4.0002,21.9085,6.4416,4.0555,71.9002,,8.887,14.7275,110.6953,8.9741,77.6853,57.5382,24.6524,45.5926,27.7112,,12.84,,112.0086,10.3831,,4.7908,,,22.0843,8.1916,69.9351,16.5739,5.5002,,51145,181570,72147,,,,100948,77697,599602,9271,475095,94904,,1953500,618400,130303,788463,,20097900,,1120777,9929999,833300,1363452,913600.0,,693800.0,,10221876,,27022157,,,,,28004000,,4622626,15239.0,1094122,45621871,,,,,,,161840,226500,402200,354110,78600,257500,672600,34800,175070,,24600,2237088,76600,15183717,330400,67900,39505,52300,1958900,,104886,,406200,921000,,147724.0,,,1810043,1198700,1307100,110300,407900,
2015-05-11,8.6669,12.4352,38.1215,,,,15.13,21.85,16.9185,10.2099,144.8306,16.18,,20.9908,10.9033,3.9153,29.0473,,4.3991,,5.9631,2.7705,3.0513,19.9727,29.3001,,29.8716,,1.7132,,3.2275,,,,,2.8516,,1.5085,23.7713,8.9183,4.0264,,,,,,,12.1117,13.3855,14.6959,15.7536,3.977,21.8319,6.1999,4.1609,72.2198,,8.8564,14.4934,110.3191,8.9387,77.2144,57.6575,24.7992,45.3991,27.5519,,12.63,,113.9743,10.5242,,4.7786,,,21.9887,8.3815,69.2536,16.5896,5.2916,,124461,82728,68285,,,,42256,73013,819506,8224,328134,110366,,1191900,503000,97465,551354,,5620500,,1144087,10583363,1031400,627939,1121100.0,,668200.0,,5932710,,15449913,,,,,19001000,,2770169,10475.0,954194,33917090,,,,,,,260546,342400,96000,260036,438600,418700,562900,24100,145358,,15100,2465827,56700,10854397,242600,103500,66050,54800,1486100,,103405,,329800,962600,,2819.0,,,1055745,1633700,641700,77800,371400,
2015-05-12,9.0496,12.3234,38.0587,,,,15.1,21.68,16.9338,10.3313,144.3253,16.38,,21.3395,10.8709,3.8908,29.8504,,4.3585,,6.1865,2.7866,3.0567,20.0478,28.7881,,29.5916,,1.6831,,3.2509,,,,,2.8901,,1.4974,23.9014,9.002,3.8739,,,,,,,12.1947,13.5137,14.9316,15.6652,3.9809,21.8942,6.2233,4.2501,72.0245,,8.7951,14.3231,108.0544,8.8943,76.1506,56.3101,25.0745,45.9236,27.4532,,12.58,,112.5776,10.7311,,4.7786,,,22.091,8.416,68.1276,16.5949,4.7963,,399464,120389,45788,,,,45794,83474,430081,21291,420961,234881,,1765000,810000,152110,1033265,,17017000,,881662,9498652,943600,886980,729200.0,,555400.0,,3965724,,21873287,,,,,23178800,,2121223,14213.0,691968,34561711,,,,,,,170081,623000,115200,189790,209400,287700,548500,4500,138039,,8600,2276922,61100,12441537,279700,87700,43798,45800,1080100,,68416,,628600,983300,,28310.0,,,2305095,1756500,642800,94700,929500,
2015-05-13,9.0585,12.4681,38.0796,,,,14.81,23.0,16.9723,10.3755,143.3246,16.19,,21.6184,10.9087,3.9071,29.4827,,4.3247,,6.2376,2.7328,3.0621,19.7098,28.5795,,29.3308,,1.638,,3.2172,,,,,2.9167,,1.4417,23.8928,8.9487,3.7425,,,,,,,12.276,13.5625,15.2198,15.761,3.977,21.9085,6.3558,4.461,71.9624,,8.7338,14.3586,108.0323,8.9564,76.6947,58.7733,24.8604,46.4106,27.4532,,12.48,,112.7697,11.239,,4.7051,,,22.1253,8.7181,67.8017,16.5005,4.7703,,103010,142250,48478,,,,51113,158409,283785,66386,264724,91321,,1304900,535900,127834,815660,,11250800,,571134,14083601,861000,753693,736900.0,,533400.0,,6805764,,15189685,,,,,35542200,,2125582,11411.0,654634,39119281,,,,,,,73014,303900,164000,252950,275300,262500,993900,36100,158962,,11700,2770850,83300,9178349,356300,171900,71955,65400,1119000,,82479,,347400,2351400,,32272.0,,,1028358,3119100,600700,112700,1227700,
2015-05-14,9.2631,12.3628,38.0657,,,,15.33,22.96,17.1109,10.3589,145.435,16.33,,21.9113,10.8601,3.8826,29.2892,,4.3788,,6.3589,2.8269,3.1646,20.3389,28.7976,,29.7268,,1.6781,,3.2872,,,,,2.9404,,1.4529,24.9863,9.1619,3.7478,,,,,,,12.4023,13.5442,15.6455,15.7168,4.0002,22.0091,6.4377,4.461,71.3675,,8.4887,14.7417,111.1453,9.169,78.3106,59.3277,25.0378,46.8621,27.696,,12.5,,111.8164,11.634,,4.748,,,22.528,8.7872,67.9573,16.6735,4.5965,,208751,130562,35436,,,,85300,100120,201831,13811,282635,126864,,2061900,205300,144136,617961,,12704000,,628224,19641093,1061800,1063738,468900.0,,786600.0,,4308822,,19814355,,,,,32127000,,2231800,41100.0,1513882,34702273,,,,,,,65263,253400,266300,293209,316100,295100,1431500,9400,197666,,22800,3477095,37200,8103564,271400,77200,93207,81400,978200,,62366,,269600,2076000,,20941.0,,,1256024,2001300,479400,115200,460300,
2015-05-15,9.3254,12.1393,37.8493,,,,15.81,24.38,16.9338,10.3424,145.108,16.35,,21.6393,10.9518,3.9071,29.086,,4.4262,,6.2376,2.8887,3.1969,20.4516,29.0251,,29.9489,,1.6681,,3.3495,,,,,2.9997,,1.4529,25.7413,9.3256,3.7425,,,,,,,12.3832,13.709,15.3966,15.8272,3.9847,21.8271,6.3597,4.4934,72.1843,,8.6419,14.8978,113.2476,9.2841,78.408,60.0295,25.2702,47.361,27.9464,,12.5,,111.1366,11.5117,,4.8705,,,22.3846,8.7613,68.1499,16.4113,4.6834,,105412,160100,51963,,,,103717,493253,199704,15560,170268,111966,,1329600,196700,102421,469953,,12210200,,394829,21069823,689700,905223,330700.0,,832200.0,,2684430,,23492560,,,,,33026900,,1828788,26572.0,1085306,26605510,,,,,,,56192,212900,105800,214027,430000,412800,694700,35700,95130,,5500,1988704,74300,9397698,387100,95000,97413,53000,1306200,,32379,,346300,988900,,225082.0,,,1044933,1520200,250400,100900,261200,
